"원시순위","코드","종목","시장","유니버스","가격","DART","실적지표수","공시일","컴플라이언스","랭킹상태","랭킹","점수","주요 사유"
"1","005930","삼성전자","KOSPI","통과","가용","가용","4","2026-05-15","제외","미랭킹","","","컴플라이언스 제외(005930)"
"2","000660","SK하이닉스","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","1","0.9576300068008068","가격·DART·컴플라이언스 조건 모두 통과"
"3","373220","LG에너지솔루션","KOSPI","통과","가용","결측","0","2026-05-14","통과","미랭킹","","","기준일까지 매출·EPS가 함께 있는 DART 분기 공시 없음"
"4","207940","삼성바이오로직스","KOSPI","통과","가용","가용","4","2025-11-14","통과","랭킹 가능","94","0.5363069860700718","가격·DART·컴플라이언스 조건 모두 통과"
"5","005935","삼성전자우","KOSPI","제외","미평가","미평가","","","미평가","미랭킹","","","우선주"
"6","005380","현대차","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","50","0.641226343745603","가격·DART·컴플라이언스 조건 모두 통과"
"7","329180","HD현대중공업","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","58","0.6288782186576615","가격·DART·컴플라이언스 조건 모두 통과"
"8","402340","SK스퀘어","KOSPI","통과","가용","가용","4","2026-05-14","통과","랭킹 가능","7","0.8392536994043431","가격·DART·컴플라이언스 조건 모두 통과"
"9","012450","한화에어로스페이스","KOSPI","통과","가용","가용","4","2024-08-14","통과","랭킹 가능","102","0.5106142418273064","가격·DART·컴플라이언스 조건 모두 통과"
"10","034020","두산에너빌리티","KOSPI","통과","가용","가용","4","2026-05-14","통과","랭킹 가능","161","0.3371212654190704","가격·DART·컴플라이언스 조건 모두 통과"
"11","105560","KB금융","KOSPI","통과","가용","결측","0","2026-05-15","통과","미랭킹","","","기준일까지 매출·EPS가 함께 있는 DART 분기 공시 없음"
"12","000270","기아","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","84","0.5648693482951082","가격·DART·컴플라이언스 조건 모두 통과"
"13","068270","셀트리온","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","110","0.484544140753248","가격·DART·컴플라이언스 조건 모두 통과"
"14","028260","삼성물산","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","57","0.6316922283194972","가격·DART·컴플라이언스 조건 모두 통과"
"15","035420","NAVER","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","178","0.2770027203226866","가격·DART·컴플라이언스 조건 모두 통과"
"16","055550","신한지주","KOSPI","통과","가용","결측","0","2026-05-15","통과","미랭킹","","","기준일까지 매출·EPS가 함께 있는 DART 분기 공시 없음"
"17","042660","한화오션","KOSPI","통과","가용","가용","4","2026-05-13","통과","랭킹 가능","183","0.26157702499882746","가격·DART·컴플라이언스 조건 모두 통과"
"18","012330","현대모비스","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","70","0.5985618932038835","가격·DART·컴플라이언스 조건 모두 통과"
"19","032830","삼성생명","KOSPI","통과","가용","결측","0","2026-05-15","통과","미랭킹","","","기준일까지 매출·EPS가 함께 있는 DART 분기 공시 없음"
"20","015760","한국전력","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","175","0.2922116985601051","가격·DART·컴플라이언스 조건 모두 통과"
"21","009540","HD한국조선해양","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","130","0.43343264856245023","가격·DART·컴플라이언스 조건 모두 통과"
"22","267260","HD현대일렉트릭","KOSPI","통과","가용","가용","4","2026-03-16","통과","랭킹 가능","53","0.638945523193096","가격·DART·컴플라이언스 조건 모두 통과"
"23","035720","카카오","KOSPI","통과","가용","가용","4","2025-11-14","통과","랭킹 가능","198","0.2253931276675578","가격·DART·컴플라이언스 조건 모두 통과"
"24","086790","하나금융지주","KOSPI","통과","가용","결측","0","2026-05-15","통과","미랭킹","","","기준일까지 매출·EPS가 함께 있는 DART 분기 공시 없음"
"25","005490","POSCO홀딩스","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","91","0.5468939660428686","가격·DART·컴플라이언스 조건 모두 통과"
"26","010130","고려아연","KOSPI","통과","가용","가용","4","2026-06-01","통과","랭킹 가능","71","0.5946645619342432","가격·DART·컴플라이언스 조건 모두 통과"
"27","196170","알테오젠","KOSDAQ","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","190","0.25276464518549785","가격·DART·컴플라이언스 조건 모두 통과"
"28","051910","LG화학","KOSPI","통과","가용","가용","4","2026-03-13","통과","랭킹 가능","184","0.2603213967449932","가격·DART·컴플라이언스 조건 모두 통과"
"29","000810","삼성화재","KOSPI","통과","가용","결측","0","2026-05-15","통과","미랭킹","","","기준일까지 매출·EPS가 함께 있는 DART 분기 공시 없음"
"30","006400","삼성SDI","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","27","0.7145189601801041","가격·DART·컴플라이언스 조건 모두 통과"
"31","010140","삼성중공업","KOSPI","통과","가용","가용","4","2024-11-14","통과","랭킹 가능","114","0.464937942638713","가격·DART·컴플라이언스 조건 모두 통과"
"32","316140","우리금융지주","KOSPI","통과","가용","결측","0","2026-05-15","통과","미랭킹","","","기준일까지 매출·EPS가 함께 있는 DART 분기 공시 없음"
"33","064350","현대로템","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","168","0.31871274213217016","가격·DART·컴플라이언스 조건 모두 통과"
"34","138040","메리츠금융지주","KOSPI","제외","미평가","미평가","","","미평가","미랭킹","","","보통주 필터 오탐 가능: 이름의 '리츠' 문자열을 REIT로 인식"
"35","011200","HMM","KOSPI","통과","가용","가용","4","2026-05-13","통과","랭킹 가능","160","0.33722872989071806","가격·DART·컴플라이언스 조건 모두 통과"
