candidate_id,kind,direction,status,confidence,label,date,index,type,price,min_swing
1,impulse,bearish,drawable,0.9777,,2026-03-11,36,high,30550,1426
1,impulse,bearish,drawable,0.9777,1,2026-04-07,55,low,23450,1426
1,impulse,bearish,drawable,0.9777,2,2026-05-04,73,high,32800,1426
1,impulse,bearish,drawable,0.9777,3,2026-06-08,95,low,17030,1426
1,impulse,bearish,drawable,0.9777,4,2026-06-15,100,high,23650,1426
1,impulse,bearish,drawable,0.9777,5,2026-06-26,109,low,15430,1426
2,corrective,bearish-correction,drawable,0.9069,A,2026-06-08,95,low,17030,1426
2,corrective,bearish-correction,drawable,0.9069,B,2026-06-15,100,high,23650,1426
2,corrective,bearish-correction,drawable,0.9069,C,2026-06-26,109,low,15430,1426
3,corrective,bearish-correction,drawable,0.7916,A,2026-04-07,55,low,23450,1426
3,corrective,bearish-correction,drawable,0.7916,B,2026-05-04,73,high,32800,1426
3,corrective,bearish-correction,drawable,0.7916,C,2026-06-08,95,low,17030,1426
4,corrective,bullish-correction,drawable,0.7705,A,2026-05-04,73,high,32800,1426
4,corrective,bullish-correction,drawable,0.7705,B,2026-06-08,95,low,17030,1426
4,corrective,bullish-correction,drawable,0.7705,C,2026-06-15,100,high,23650,1426
5,impulse,bullish,drawable,0.7683,,2026-03-04,31,low,24950,1426
5,impulse,bullish,drawable,0.7683,1,2026-03-11,36,high,30550,1426
5,impulse,bullish,drawable,0.7683,2,2026-04-07,55,low,23450,1426
5,impulse,bullish,drawable,0.7683,3,2026-05-04,73,high,32800,1426
5,impulse,bullish,drawable,0.7683,4,2026-06-08,95,low,17030,1426
5,impulse,bullish,drawable,0.7683,5,2026-06-15,100,high,23650,1426
6,impulse,bearish,drawable,0.7275,,2026-02-23,25,high,36650,1426
6,impulse,bearish,drawable,0.7275,1,2026-03-04,31,low,24950,1426
6,impulse,bearish,drawable,0.7275,2,2026-03-11,36,high,30550,1426
6,impulse,bearish,drawable,0.7275,3,2026-04-07,55,low,23450,1426
6,impulse,bearish,drawable,0.7275,4,2026-05-04,73,high,32800,1426
6,impulse,bearish,drawable,0.7275,5,2026-06-08,95,low,17030,1426
7,impulse,bearish,drawable,0.7000,,2026-01-29,11,high,30050,1426
7,impulse,bearish,drawable,0.7000,1,2026-02-06,17,low,26350,1426
7,impulse,bearish,drawable,0.7000,2,2026-02-23,25,high,36650,1426
7,impulse,bearish,drawable,0.7000,3,2026-03-04,31,low,24950,1426
7,impulse,bearish,drawable,0.7000,4,2026-03-11,36,high,30550,1426
7,impulse,bearish,drawable,0.7000,5,2026-04-07,55,low,23450,1426
8,impulse,bullish,drawable,0.7000,,2026-01-21,5,low,25300,1426
8,impulse,bullish,drawable,0.7000,1,2026-01-29,11,high,30050,1426
8,impulse,bullish,drawable,0.7000,2,2026-02-06,17,low,26350,1426
8,impulse,bullish,drawable,0.7000,3,2026-02-23,25,high,36650,1426
8,impulse,bullish,drawable,0.7000,4,2026-03-04,31,low,24950,1426
8,impulse,bullish,drawable,0.7000,5,2026-03-11,36,high,30550,1426
9,impulse,bullish,drawable,0.6093,,2026-02-06,17,low,26350,1426
9,impulse,bullish,drawable,0.6093,1,2026-02-23,25,high,36650,1426
9,impulse,bullish,drawable,0.6093,2,2026-03-04,31,low,24950,1426
9,impulse,bullish,drawable,0.6093,3,2026-03-11,36,high,30550,1426
9,impulse,bullish,drawable,0.6093,4,2026-04-07,55,low,23450,1426
9,impulse,bullish,drawable,0.6093,5,2026-05-04,73,high,32800,1426
