candidate_id,kind,direction,status,confidence,label,date,index,type,price,min_swing
1,corrective,bearish-correction,drawable,0.9278,A,2026-06-11,143,low,85300,6450
1,corrective,bearish-correction,drawable,0.9278,B,2026-06-18,148,high,109300,6450
1,corrective,bearish-correction,drawable,0.9278,C,2026-06-26,154,low,79300,6450
2,impulse,bullish,drawable,0.8197,,2026-03-04,76,low,79000,6450
2,impulse,bullish,drawable,0.8197,1,2026-03-20,88,high,112100,6450
2,impulse,bullish,drawable,0.8197,2,2026-03-31,95,low,91100,6450
2,impulse,bullish,drawable,0.8197,3,2026-05-07,120,high,139200,6450
2,impulse,bullish,drawable,0.8197,4,2026-06-11,143,low,85300,6450
2,impulse,bullish,drawable,0.8197,5,2026-06-18,148,high,109300,6450
3,impulse,bearish,drawable,0.8183,,2026-03-20,88,high,112100,6450
3,impulse,bearish,drawable,0.8183,1,2026-03-31,95,low,91100,6450
3,impulse,bearish,drawable,0.8183,2,2026-05-07,120,high,139200,6450
3,impulse,bearish,drawable,0.8183,3,2026-06-11,143,low,85300,6450
3,impulse,bearish,drawable,0.8183,4,2026-06-18,148,high,109300,6450
3,impulse,bearish,drawable,0.8183,5,2026-06-26,154,low,79300,6450
4,corrective,bullish-correction,drawable,0.8124,A,2026-05-07,120,high,139200,6450
4,corrective,bullish-correction,drawable,0.8124,B,2026-06-11,143,low,85300,6450
4,corrective,bullish-correction,drawable,0.8124,C,2026-06-18,148,high,109300,6450
5,impulse,bullish,drawable,0.7822,,2026-02-06,62,low,85200,6450
5,impulse,bullish,drawable,0.7822,1,2026-02-27,74,high,110200,6450
5,impulse,bullish,drawable,0.7822,2,2026-03-04,76,low,79000,6450
5,impulse,bullish,drawable,0.7822,3,2026-03-20,88,high,112100,6450
5,impulse,bullish,drawable,0.7822,4,2026-03-31,95,low,91100,6450
5,impulse,bullish,drawable,0.7822,5,2026-05-07,120,high,139200,6450
6,impulse,bearish,drawable,0.7000,,2026-01-20,49,high,98100,6450
6,impulse,bearish,drawable,0.7000,1,2026-02-06,62,low,85200,6450
6,impulse,bearish,drawable,0.7000,2,2026-02-27,74,high,110200,6450
6,impulse,bearish,drawable,0.7000,3,2026-03-04,76,low,79000,6450
6,impulse,bearish,drawable,0.7000,4,2026-03-20,88,high,112100,6450
6,impulse,bearish,drawable,0.7000,5,2026-03-31,95,low,91100,6450
7,impulse,bearish,drawable,0.6916,,2026-02-27,74,high,110200,6450
7,impulse,bearish,drawable,0.6916,1,2026-03-04,76,low,79000,6450
7,impulse,bearish,drawable,0.6916,2,2026-03-20,88,high,112100,6450
7,impulse,bearish,drawable,0.6916,3,2026-03-31,95,low,91100,6450
7,impulse,bearish,drawable,0.6916,4,2026-05-07,120,high,139200,6450
7,impulse,bearish,drawable,0.6916,5,2026-06-11,143,low,85300,6450
