candidate_id,kind,direction,status,confidence,label,date,index,type,price,min_swing
1,impulse,bearish,drawable,0.9600,,2026-04-10,58,high,78000,4021
1,impulse,bearish,drawable,0.9600,1,2026-04-30,72,low,72400,4021
1,impulse,bearish,drawable,0.9600,2,2026-05-06,74,high,80300,4021
1,impulse,bearish,drawable,0.9600,3,2026-05-18,82,low,61400,4021
1,impulse,bearish,drawable,0.9600,4,2026-06-05,94,high,66300,4021
1,impulse,bearish,drawable,0.9600,5,2026-06-08,95,low,54000,4021
2,corrective,bearish-correction,drawable,0.9064,A,2026-06-08,95,low,54000,4021
2,corrective,bearish-correction,drawable,0.9064,B,2026-06-17,102,high,63900,4021
2,corrective,bearish-correction,drawable,0.9064,C,2026-06-24,107,low,52100,4021
3,corrective,bullish-correction,drawable,0.8757,A,2026-06-05,94,high,66300,4021
3,corrective,bullish-correction,drawable,0.8757,B,2026-06-08,95,low,54000,4021
3,corrective,bullish-correction,drawable,0.8757,C,2026-06-17,102,high,63900,4021
4,impulse,bearish,drawable,0.8662,,2026-05-06,74,high,80300,4021
4,impulse,bearish,drawable,0.8662,1,2026-05-18,82,low,61400,4021
4,impulse,bearish,drawable,0.8662,2,2026-06-05,94,high,66300,4021
4,impulse,bearish,drawable,0.8662,3,2026-06-08,95,low,54000,4021
4,impulse,bearish,drawable,0.8662,4,2026-06-17,102,high,63900,4021
4,impulse,bearish,drawable,0.8662,5,2026-06-24,107,low,52100,4021
5,impulse,bullish,drawable,0.7755,,2026-01-22,6,low,58500,4021
5,impulse,bullish,drawable,0.7755,1,2026-02-03,14,high,78900,4021
5,impulse,bullish,drawable,0.7755,2,2026-02-06,17,low,66600,4021
5,impulse,bullish,drawable,0.7755,3,2026-02-23,25,high,104600,4021
5,impulse,bullish,drawable,0.7755,4,2026-03-04,31,low,66200,4021
5,impulse,bullish,drawable,0.7755,5,2026-03-12,37,high,89900,4021
6,impulse,bullish,drawable,0.7583,,2026-04-02,52,low,69700,4021
6,impulse,bullish,drawable,0.7583,1,2026-04-10,58,high,78000,4021
6,impulse,bullish,drawable,0.7583,2,2026-04-30,72,low,72400,4021
6,impulse,bullish,drawable,0.7583,3,2026-05-06,74,high,80300,4021
6,impulse,bullish,drawable,0.7583,4,2026-05-18,82,low,61400,4021
6,impulse,bullish,drawable,0.7583,5,2026-06-05,94,high,66300,4021
7,corrective,bearish-correction,drawable,0.7429,A,2026-05-18,82,low,61400,4021
7,corrective,bearish-correction,drawable,0.7429,B,2026-06-05,94,high,66300,4021
7,corrective,bearish-correction,drawable,0.7429,C,2026-06-08,95,low,54000,4021
8,impulse,bearish,drawable,0.7417,,2026-02-23,25,high,104600,4021
8,impulse,bearish,drawable,0.7417,1,2026-03-04,31,low,66200,4021
8,impulse,bearish,drawable,0.7417,2,2026-03-12,37,high,89900,4021
8,impulse,bearish,drawable,0.7417,3,2026-04-02,52,low,69700,4021
8,impulse,bearish,drawable,0.7417,4,2026-04-10,58,high,78000,4021
8,impulse,bearish,drawable,0.7417,5,2026-04-30,72,low,72400,4021
9,corrective,bullish-correction,drawable,0.7272,A,2026-04-10,58,high,78000,4021
9,corrective,bullish-correction,drawable,0.7272,B,2026-04-30,72,low,72400,4021
9,corrective,bullish-correction,drawable,0.7272,C,2026-05-06,74,high,80300,4021
10,corrective,bearish-correction,drawable,0.7187,A,2026-04-02,52,low,69700,4021
