candidate_id,kind,direction,status,confidence,label,date,index,type,price,min_swing
1,impulse,bullish,drawable,0.9883,,2026-02-06,56,low,109200,15021
1,impulse,bullish,drawable,0.9883,1,2026-02-26,67,high,129000,15021
1,impulse,bullish,drawable,0.9883,2,2026-03-04,70,low,92500,15021
1,impulse,bullish,drawable,0.9883,3,2026-04-07,94,high,195300,15021
1,impulse,bullish,drawable,0.9883,4,2026-04-16,101,low,168100,15021
1,impulse,bullish,drawable,0.9883,5,2026-05-04,112,high,225000,15021
2,corrective,bullish-correction,drawable,0.8384,A,2026-04-07,94,high,195300,15021
2,corrective,bullish-correction,drawable,0.8384,B,2026-04-16,101,low,168100,15021
2,corrective,bullish-correction,drawable,0.8384,C,2026-05-04,112,high,225000,15021
3,impulse,bearish,drawable,0.7700,,2026-01-28,49,high,140900,15021
3,impulse,bearish,drawable,0.7700,1,2026-02-06,56,low,109200,15021
3,impulse,bearish,drawable,0.7700,2,2026-02-26,67,high,129000,15021
3,impulse,bearish,drawable,0.7700,3,2026-03-04,70,low,92500,15021
3,impulse,bearish,drawable,0.7700,4,2026-04-07,94,high,195300,15021
3,impulse,bearish,drawable,0.7700,5,2026-04-16,101,low,168100,15021
4,corrective,bearish-correction,drawable,0.7361,A,2026-03-04,70,low,92500,15021
4,corrective,bearish-correction,drawable,0.7361,B,2026-04-07,94,high,195300,15021
4,corrective,bearish-correction,drawable,0.7361,C,2026-04-16,101,low,168100,15021
5,impulse,bullish,drawable,0.7133,,2025-11-24,5,low,111000,15021
5,impulse,bullish,drawable,0.7133,1,2025-12-10,17,high,138000,15021
5,impulse,bullish,drawable,0.7133,2,2026-01-05,32,low,92500,15021
5,impulse,bullish,drawable,0.7133,3,2026-01-28,49,high,140900,15021
5,impulse,bullish,drawable,0.7133,4,2026-02-06,56,low,109200,15021
5,impulse,bullish,drawable,0.7133,5,2026-02-26,67,high,129000,15021
6,impulse,bearish,drawable,0.6821,,2025-12-10,17,high,138000,15021
6,impulse,bearish,drawable,0.6821,1,2026-01-05,32,low,92500,15021
6,impulse,bearish,drawable,0.6821,2,2026-01-28,49,high,140900,15021
6,impulse,bearish,drawable,0.6821,3,2026-02-06,56,low,109200,15021
6,impulse,bearish,drawable,0.6821,4,2026-02-26,67,high,129000,15021
6,impulse,bearish,drawable,0.6821,5,2026-03-04,70,low,92500,15021
7,impulse,bullish,drawable,0.6106,,2026-01-05,32,low,92500,15021
7,impulse,bullish,drawable,0.6106,1,2026-01-28,49,high,140900,15021
7,impulse,bullish,drawable,0.6106,2,2026-02-06,56,low,109200,15021
7,impulse,bullish,drawable,0.6106,3,2026-02-26,67,high,129000,15021
7,impulse,bullish,drawable,0.6106,4,2026-03-04,70,low,92500,15021
7,impulse,bullish,drawable,0.6106,5,2026-04-07,94,high,195300,15021
