candidate_id,kind,direction,status,confidence,label,date,index,type,price,min_swing
1,impulse,bearish,drawable,0.9867,,2026-03-27,113,high,34400,2336
1,impulse,bearish,drawable,0.9867,1,2026-04-07,120,low,26450,2336
1,impulse,bearish,drawable,0.9867,2,2026-04-17,128,high,33250,2336
1,impulse,bearish,drawable,0.9867,3,2026-05-27,153,low,18770,2336
1,impulse,bearish,drawable,0.9867,4,2026-06-05,159,high,25350,2336
1,impulse,bearish,drawable,0.9867,5,2026-06-23,171,low,17390,2336
2,corrective,bearish-correction,drawable,0.9211,A,2026-05-27,153,low,18770,2336
2,corrective,bearish-correction,drawable,0.9211,B,2026-06-05,159,high,25350,2336
2,corrective,bearish-correction,drawable,0.9211,C,2026-06-23,171,low,17390,2336
3,impulse,bullish,drawable,0.8881,,2026-03-04,96,low,16490,2336
3,impulse,bullish,drawable,0.8881,1,2026-03-16,104,high,28000,2336
3,impulse,bullish,drawable,0.8881,2,2026-03-23,109,low,22500,2336
3,impulse,bullish,drawable,0.8881,3,2026-03-27,113,high,34400,2336
3,impulse,bullish,drawable,0.8881,4,2026-04-07,120,low,26450,2336
3,impulse,bullish,drawable,0.8881,5,2026-04-17,128,high,33250,2336
4,impulse,bullish,drawable,0.8212,,2026-02-02,78,low,16000,2336
4,impulse,bullish,drawable,0.8212,1,2026-02-10,84,high,26725,2336
4,impulse,bullish,drawable,0.8212,2,2026-03-04,96,low,16490,2336
4,impulse,bullish,drawable,0.8212,3,2026-03-16,104,high,28000,2336
4,impulse,bullish,drawable,0.8212,4,2026-03-23,109,low,22500,2336
4,impulse,bullish,drawable,0.8212,5,2026-03-27,113,high,34400,2336
5,corrective,bullish-correction,drawable,0.7747,A,2026-04-17,128,high,33250,2336
5,corrective,bullish-correction,drawable,0.7747,B,2026-05-27,153,low,18770,2336
5,corrective,bullish-correction,drawable,0.7747,C,2026-06-05,159,high,25350,2336
6,corrective,bullish-correction,drawable,0.7638,A,2026-03-27,113,high,34400,2336
6,corrective,bullish-correction,drawable,0.7638,B,2026-04-07,120,low,26450,2336
6,corrective,bullish-correction,drawable,0.7638,C,2026-04-17,128,high,33250,2336
7,impulse,bearish,drawable,0.7567,,2026-03-16,104,high,28000,2336
7,impulse,bearish,drawable,0.7567,1,2026-03-23,109,low,22500,2336
7,impulse,bearish,drawable,0.7567,2,2026-03-27,113,high,34400,2336
7,impulse,bearish,drawable,0.7567,3,2026-04-07,120,low,26450,2336
7,impulse,bearish,drawable,0.7567,4,2026-04-17,128,high,33250,2336
7,impulse,bearish,drawable,0.7567,5,2026-05-27,153,low,18770,2336
8,corrective,bearish-correction,drawable,0.7518,A,2026-04-07,120,low,26450,2336
8,corrective,bearish-correction,drawable,0.7518,B,2026-04-17,128,high,33250,2336
8,corrective,bearish-correction,drawable,0.7518,C,2026-05-27,153,low,18770,2336
9,impulse,bullish,drawable,0.7425,,2026-01-15,66,low,15570,2336
9,impulse,bullish,drawable,0.7425,1,2026-01-23,72,high,19900,2336
9,impulse,bullish,drawable,0.7425,2,2026-02-02,78,low,16000,2336
9,impulse,bullish,drawable,0.7425,3,2026-02-10,84,high,26725,2336
9,impulse,bullish,drawable,0.7425,4,2026-03-04,96,low,16490,2336
9,impulse,bullish,drawable,0.7425,5,2026-03-16,104,high,28000,2336
10,corrective,bearish-correction,drawable,0.7170,A,2026-03-23,109,low,22500,2336
10,corrective,bearish-correction,drawable,0.7170,B,2026-03-27,113,high,34400,2336
10,corrective,bearish-correction,drawable,0.7170,C,2026-04-07,120,low,26450,2336
11,impulse,bearish,drawable,0.7000,,2026-01-23,72,high,19900,2336
11,impulse,bearish,drawable,0.7000,1,2026-02-02,78,low,16000,2336
11,impulse,bearish,drawable,0.7000,2,2026-02-10,84,high,26725,2336
11,impulse,bearish,drawable,0.7000,3,2026-03-04,96,low,16490,2336
11,impulse,bearish,drawable,0.7000,4,2026-03-16,104,high,28000,2336
11,impulse,bearish,drawable,0.7000,5,2026-03-23,109,low,22500,2336
12,impulse,bullish,drawable,0.6595,,2026-03-23,109,low,22500,2336
12,impulse,bullish,drawable,0.6595,1,2026-03-27,113,high,34400,2336
12,impulse,bullish,drawable,0.6595,2,2026-04-07,120,low,26450,2336
12,impulse,bullish,drawable,0.6595,3,2026-04-17,128,high,33250,2336
12,impulse,bullish,drawable,0.6595,4,2026-05-27,153,low,18770,2336
12,impulse,bullish,drawable,0.6595,5,2026-06-05,159,high,25350,2336
13,impulse,bearish,drawable,0.5860,,2026-02-10,84,high,26725,2336
13,impulse,bearish,drawable,0.5860,1,2026-03-04,96,low,16490,2336
13,impulse,bearish,drawable,0.5860,2,2026-03-16,104,high,28000,2336
13,impulse,bearish,drawable,0.5860,3,2026-03-23,109,low,22500,2336
13,impulse,bearish,drawable,0.5860,4,2026-03-27,113,high,34400,2336
13,impulse,bearish,drawable,0.5860,5,2026-04-07,120,low,26450,2336
