candidate_id,kind,direction,status,confidence,label,date,index,type,price,min_swing
1,impulse,bullish,drawable,0.9467,,2026-03-04,31,low,42300,5225
1,impulse,bullish,drawable,0.9467,1,2026-03-26,47,high,53300,5225
1,impulse,bullish,drawable,0.9467,2,2026-04-02,52,low,42850,5225
1,impulse,bullish,drawable,0.9467,3,2026-04-27,69,high,94400,5225
1,impulse,bullish,drawable,0.9467,4,2026-05-20,84,low,63000,5225
1,impulse,bullish,drawable,0.9467,5,2026-05-26,87,high,80700,5225
2,impulse,bearish,drawable,0.9432,,2026-04-27,69,high,94400,5225
2,impulse,bearish,drawable,0.9432,1,2026-05-20,84,low,63000,5225
2,impulse,bearish,drawable,0.9432,2,2026-05-26,87,high,80700,5225
2,impulse,bearish,drawable,0.9432,3,2026-06-11,98,low,48600,5225
2,impulse,bearish,drawable,0.9432,4,2026-06-17,102,high,69300,5225
2,impulse,bearish,drawable,0.9432,5,2026-06-26,109,low,44350,5225
3,corrective,bearish-correction,drawable,0.9130,A,2026-06-11,98,low,48600,5225
3,corrective,bearish-correction,drawable,0.9130,B,2026-06-17,102,high,69300,5225
3,corrective,bearish-correction,drawable,0.9130,C,2026-06-26,109,low,44350,5225
4,corrective,bullish-correction,drawable,0.8601,A,2026-06-17,102,high,69300,5225
4,corrective,bullish-correction,drawable,0.8601,B,2026-06-26,109,low,44350,5225
4,corrective,bullish-correction,drawable,0.8601,C,2026-07-02,113,high,58000,5225
5,impulse,bearish,drawable,0.8590,,2026-02-04,15,high,59900,5225
5,impulse,bearish,drawable,0.8590,1,2026-02-06,17,low,51600,5225
5,impulse,bearish,drawable,0.8590,2,2026-02-20,24,high,58400,5225
5,impulse,bearish,drawable,0.8590,3,2026-03-04,31,low,42300,5225
5,impulse,bearish,drawable,0.8590,4,2026-03-26,47,high,53300,5225
5,impulse,bearish,drawable,0.8590,5,2026-04-02,52,low,42850,5225
6,corrective,bullish-correction,drawable,0.8357,A,2026-05-26,87,high,80700,5225
6,corrective,bullish-correction,drawable,0.8357,B,2026-06-11,98,low,48600,5225
6,corrective,bullish-correction,drawable,0.8357,C,2026-06-17,102,high,69300,5225
7,corrective,bearish-correction,drawable,0.7945,A,2026-05-20,84,low,63000,5225
7,corrective,bearish-correction,drawable,0.7945,B,2026-05-26,87,high,80700,5225
7,corrective,bearish-correction,drawable,0.7945,C,2026-06-11,98,low,48600,5225
8,impulse,bullish,drawable,0.7900,,2026-05-20,84,low,63000,5225
8,impulse,bullish,drawable,0.7900,1,2026-05-26,87,high,80700,5225
8,impulse,bullish,drawable,0.7900,2,2026-06-11,98,low,48600,5225
8,impulse,bullish,drawable,0.7900,3,2026-06-17,102,high,69300,5225
8,impulse,bullish,drawable,0.7900,4,2026-06-26,109,low,44350,5225
8,impulse,bullish,drawable,0.7900,5,2026-07-02,113,high,58000,5225
9,impulse,bearish,drawable,0.7650,,2026-03-26,47,high,53300,5225
9,impulse,bearish,drawable,0.7650,1,2026-04-02,52,low,42850,5225
9,impulse,bearish,drawable,0.7650,2,2026-04-27,69,high,94400,5225
9,impulse,bearish,drawable,0.7650,3,2026-05-20,84,low,63000,5225
9,impulse,bearish,drawable,0.7650,4,2026-05-26,87,high,80700,5225
9,impulse,bearish,drawable,0.7650,5,2026-06-11,98,low,48600,5225
10,corrective,bullish-correction,drawable,0.7487,A,2026-04-27,69,high,94400,5225
10,corrective,bullish-correction,drawable,0.7487,B,2026-05-20,84,low,63000,5225
10,corrective,bullish-correction,drawable,0.7487,C,2026-05-26,87,high,80700,5225
11,corrective,bearish-correction,drawable,0.7467,A,2026-04-02,52,low,42850,5225
11,corrective,bearish-correction,drawable,0.7467,B,2026-04-27,69,high,94400,5225
11,corrective,bearish-correction,drawable,0.7467,C,2026-05-20,84,low,63000,5225
12,impulse,bullish,drawable,0.7167,,2026-02-06,17,low,51600,5225
12,impulse,bullish,drawable,0.7167,1,2026-02-20,24,high,58400,5225
12,impulse,bullish,drawable,0.7167,2,2026-03-04,31,low,42300,5225
12,impulse,bullish,drawable,0.7167,3,2026-03-26,47,high,53300,5225
12,impulse,bullish,drawable,0.7167,4,2026-04-02,52,low,42850,5225
12,impulse,bullish,drawable,0.7167,5,2026-04-27,69,high,94400,5225
13,impulse,bearish,drawable,0.6539,,2026-02-20,24,high,58400,5225
13,impulse,bearish,drawable,0.6539,1,2026-03-04,31,low,42300,5225
13,impulse,bearish,drawable,0.6539,2,2026-03-26,47,high,53300,5225
13,impulse,bearish,drawable,0.6539,3,2026-04-02,52,low,42850,5225
13,impulse,bearish,drawable,0.6539,4,2026-04-27,69,high,94400,5225
13,impulse,bearish,drawable,0.6539,5,2026-05-20,84,low,63000,5225
14,impulse,bullish,drawable,0.6454,,2026-01-22,6,low,51200,5225
14,impulse,bullish,drawable,0.6454,1,2026-02-04,15,high,59900,5225
14,impulse,bullish,drawable,0.6454,2,2026-02-06,17,low,51600,5225
