candidate_id,kind,direction,status,confidence,label,date,index,type,price,min_swing
1,corrective,bearish-correction,drawable,0.9718,A,2026-03-31,85,low,106000,6121
1,corrective,bearish-correction,drawable,0.9718,B,2026-04-21,100,high,122000,6121
1,corrective,bearish-correction,drawable,0.9718,C,2026-05-12,113,low,106100,6121
2,impulse,bearish,drawable,0.8486,,2026-02-26,63,high,175900,6121
2,impulse,bearish,drawable,0.8486,1,2026-03-09,69,low,111000,6121
2,impulse,bearish,drawable,0.8486,2,2026-03-19,77,high,143000,6121
2,impulse,bearish,drawable,0.8486,3,2026-03-31,85,low,106000,6121
2,impulse,bearish,drawable,0.8486,4,2026-04-21,100,high,122000,6121
2,impulse,bearish,drawable,0.8486,5,2026-05-12,113,low,106100,6121
3,corrective,bullish-correction,drawable,0.7737,A,2026-03-19,77,high,143000,6121
3,corrective,bullish-correction,drawable,0.7737,B,2026-03-31,85,low,106000,6121
3,corrective,bullish-correction,drawable,0.7737,C,2026-04-21,100,high,122000,6121
4,impulse,bearish,drawable,0.7433,,2026-01-16,37,high,137300,6121
4,impulse,bearish,drawable,0.7433,1,2026-02-06,52,low,107500,6121
4,impulse,bearish,drawable,0.7433,2,2026-02-26,63,high,175900,6121
4,impulse,bearish,drawable,0.7433,3,2026-03-09,69,low,111000,6121
4,impulse,bearish,drawable,0.7433,4,2026-03-19,77,high,143000,6121
4,impulse,bearish,drawable,0.7433,5,2026-03-31,85,low,106000,6121
5,impulse,bullish,drawable,0.7300,,2026-01-08,31,low,113100,6121
5,impulse,bullish,drawable,0.7300,1,2026-01-16,37,high,137300,6121
5,impulse,bullish,drawable,0.7300,2,2026-02-06,52,low,107500,6121
5,impulse,bullish,drawable,0.7300,3,2026-02-26,63,high,175900,6121
5,impulse,bullish,drawable,0.7300,4,2026-03-09,69,low,111000,6121
5,impulse,bullish,drawable,0.7300,5,2026-03-19,77,high,143000,6121
6,impulse,bearish,drawable,0.7167,,2025-12-15,16,high,140000,6121
6,impulse,bearish,drawable,0.7167,1,2026-01-08,31,low,113100,6121
6,impulse,bearish,drawable,0.7167,2,2026-01-16,37,high,137300,6121
6,impulse,bearish,drawable,0.7167,3,2026-02-06,52,low,107500,6121
6,impulse,bearish,drawable,0.7167,4,2026-02-26,63,high,175900,6121
6,impulse,bearish,drawable,0.7167,5,2026-03-09,69,low,111000,6121
7,impulse,bullish,drawable,0.6353,,2026-02-06,52,low,107500,6121
7,impulse,bullish,drawable,0.6353,1,2026-02-26,63,high,175900,6121
7,impulse,bullish,drawable,0.6353,2,2026-03-09,69,low,111000,6121
7,impulse,bullish,drawable,0.6353,3,2026-03-19,77,high,143000,6121
7,impulse,bullish,drawable,0.6353,4,2026-03-31,85,low,106000,6121
7,impulse,bullish,drawable,0.6353,5,2026-04-21,100,high,122000,6121
