candidate_id,kind,direction,status,confidence,label,date,index,type,price,min_swing
1,corrective,bearish-correction,drawable,0.9629,A,2026-03-31,83,low,106000,6829
1,corrective,bearish-correction,drawable,0.9629,B,2026-04-21,98,high,122000,6829
1,corrective,bearish-correction,drawable,0.9629,C,2026-05-12,111,low,106100,6829
2,corrective,bullish-correction,drawable,0.9572,A,2026-04-21,98,high,122000,6829
2,corrective,bullish-correction,drawable,0.9572,B,2026-05-12,111,low,106100,6829
2,corrective,bullish-correction,drawable,0.9572,C,2026-05-14,113,high,123100,6829
3,impulse,bearish,drawable,0.8453,,2026-02-26,61,high,175900,6829
3,impulse,bearish,drawable,0.8453,1,2026-03-09,67,low,111000,6829
3,impulse,bearish,drawable,0.8453,2,2026-03-19,75,high,143000,6829
3,impulse,bearish,drawable,0.8453,3,2026-03-31,83,low,106000,6829
3,impulse,bearish,drawable,0.8453,4,2026-04-21,98,high,122000,6829
3,impulse,bearish,drawable,0.8453,5,2026-05-12,111,low,106100,6829
4,corrective,bullish-correction,drawable,0.7648,A,2026-03-19,75,high,143000,6829
4,corrective,bullish-correction,drawable,0.7648,B,2026-03-31,83,low,106000,6829
4,corrective,bullish-correction,drawable,0.7648,C,2026-04-21,98,high,122000,6829
5,impulse,bearish,drawable,0.7400,,2026-01-16,35,high,137300,6829
5,impulse,bearish,drawable,0.7400,1,2026-02-06,50,low,107500,6829
5,impulse,bearish,drawable,0.7400,2,2026-02-26,61,high,175900,6829
5,impulse,bearish,drawable,0.7400,3,2026-03-09,67,low,111000,6829
5,impulse,bearish,drawable,0.7400,4,2026-03-19,75,high,143000,6829
5,impulse,bearish,drawable,0.7400,5,2026-03-31,83,low,106000,6829
6,impulse,bullish,drawable,0.7267,,2026-01-08,29,low,113100,6829
6,impulse,bullish,drawable,0.7267,1,2026-01-16,35,high,137300,6829
6,impulse,bullish,drawable,0.7267,2,2026-02-06,50,low,107500,6829
6,impulse,bullish,drawable,0.7267,3,2026-02-26,61,high,175900,6829
6,impulse,bullish,drawable,0.7267,4,2026-03-09,67,low,111000,6829
6,impulse,bullish,drawable,0.7267,5,2026-03-19,75,high,143000,6829
7,impulse,bearish,drawable,0.7133,,2025-12-15,14,high,140000,6829
7,impulse,bearish,drawable,0.7133,1,2026-01-08,29,low,113100,6829
7,impulse,bearish,drawable,0.7133,2,2026-01-16,35,high,137300,6829
7,impulse,bearish,drawable,0.7133,3,2026-02-06,50,low,107500,6829
7,impulse,bearish,drawable,0.7133,4,2026-02-26,61,high,175900,6829
7,impulse,bearish,drawable,0.7133,5,2026-03-09,67,low,111000,6829
8,impulse,bullish,drawable,0.6650,,2026-03-09,67,low,111000,6829
8,impulse,bullish,drawable,0.6650,1,2026-03-19,75,high,143000,6829
8,impulse,bullish,drawable,0.6650,2,2026-03-31,83,low,106000,6829
8,impulse,bullish,drawable,0.6650,3,2026-04-21,98,high,122000,6829
8,impulse,bullish,drawable,0.6650,4,2026-05-12,111,low,106100,6829
8,impulse,bullish,drawable,0.6650,5,2026-05-14,113,high,123100,6829
9,impulse,bullish,drawable,0.6320,,2026-02-06,50,low,107500,6829
9,impulse,bullish,drawable,0.6320,1,2026-02-26,61,high,175900,6829
9,impulse,bullish,drawable,0.6320,2,2026-03-09,67,low,111000,6829
9,impulse,bullish,drawable,0.6320,3,2026-03-19,75,high,143000,6829
9,impulse,bullish,drawable,0.6320,4,2026-03-31,83,low,106000,6829
9,impulse,bullish,drawable,0.6320,5,2026-04-21,98,high,122000,6829
